repo,loc,ehloc,num_classes,userdefined_exceptions,num_methods,num_methods_throw,num_public_methods,num_public_methods_throws,num_nonpublic_methods,num_nonpublic_methods_throws,percent_nonpublic_method_throws,num_throw_statements,num_try,num_catch,empty_catchs,throw_on_catch,return_on_catch,return_on_finall,log_on_finally,specific_action_onfinally
kir-dev/korok,15526,723,257,16,1464,43,1151,29,313,14,4.472843450479233,118,100,114,0,30,11,0,0,0
michaelevans/colorart,459,0,6,0,44,0,31,0,13,0,0.0,0,0,0,0,0,0,0,0,0
allegro/grunt-maven-plugin,739,22,17,1,64,8,26,6,38,2,5.263157894736842,3,3,3,0,3,0,0,0,0
kelvingu/gitmemoizer,653,19,18,0,68,18,50,13,18,5,27.77777777777778,0,4,4,0,0,1,0,0,0
bekvon/residence,10793,261,71,0,775,24,607,7,168,17,10.119047619047619,14,54,57,0,4,24,0,0,0
yegor256/xembly,1931,122,41,4,112,51,87,49,25,2,8.0,27,15,17,0,17,0,0,0,0
ingenieux/beanstalker,5697,179,112,0,376,107,218,32,158,75,47.46835443037975,37,35,35,0,12,4,0,0,0
need4spd/crescent,6042,363,90,1,482,90,407,67,75,23,30.666666666666664,53,59,70,0,19,5,0,0,2
isaiah/jubilee,1275,22,15,0,131,4,107,4,24,0,0.0,1,4,4,0,0,1,0,0,0
fusebyexample/activemq-amqp-example,96,24,2,0,2,0,0,0,2,0,0.0,0,4,4,0,0,0,0,0,0
b3log/b3log-latke,25614,1824,443,12,2072,396,1418,269,654,127,19.418960244648318,570,243,253,0,103,61,0,1,17
scottferg/something-awful-android,19541,593,144,3,1328,78,907,17,421,61,14.489311163895488,64,88,97,0,15,30,0,1,6
mulesoft/mule-module-rest-router,229,7,5,1,19,7,9,7,10,0,0.0,1,0,0,0,0,0,0,0,0
priyatam/spring-best-practices,2988,91,43,2,356,24,302,17,54,7,12.962962962962962,8,10,12,0,2,3,0,0,0
harvardeconcs/turkserver,11166,518,169,10,843,90,704,71,139,19,13.66906474820144,77,103,105,0,4,11,0,0,3
gxa/gxa,50274,2606,683,24,4985,953,3779,693,1206,260,21.558872305140962,445,434,458,0,181,65,0,8,91
aaruff/multiserver,30478,2157,134,4,1825,423,1052,310,773,113,14.61836998706339,146,430,473,0,59,35,0,0,1
junit-team/junit,24247,1370,376,10,3313,478,2382,396,931,82,8.807733619763695,186,181,201,0,42,29,0,0,11
flow86/additional-buildcraft-objects-mod,2859,36,47,0,199,8,178,8,21,0,0.0,2,9,8,0,0,2,0,0,2
wiztools/rest-client,13507,596,200,4,957,71,698,37,259,34,13.127413127413126,69,93,117,0,27,2,0,2,31
jshiell/checkstyle-idea,7332,472,83,1,609,29,438,17,171,12,7.017543859649122,87,73,63,0,8,7,0,0,19
yonganqiu/downloadmanager,2845,254,29,1,263,16,187,12,76,4,5.263157894736842,10,51,44,0,2,0,0,0,20
jmschultz/javapusherclient,716,188,11,1,35,6,27,4,8,2,25.0,21,21,25,0,12,4,0,0,0
elasticinbox/elasticinbox,9066,576,140,9,351,105,282,83,69,22,31.88405797101449,99,71,96,0,65,4,0,0,6
wisedog/whoochooadvsms,2040,132,24,0,76,4,63,3,13,1,7.6923076923076925,1,26,31,0,0,3,0,0,0
itsmartin/tesseractuhc,5859,109,91,0,532,0,323,0,209,0,0.0,0,27,30,0,0,20,0,0,0
netflix/zuul,6502,521,67,1,598,92,444,48,154,44,28.57142857142857,39,95,109,0,28,4,0,0,1
usb4java/usb4java,5861,85,56,2,526,2,461,2,65,0,0.0,15,34,16,0,0,0,0,0,0
openstreetmap/josm-plugins,271428,7789,2461,51,19117,804,13712,456,5405,348,6.438482886216466,1523,1088,1123,0,319,95,0,0,162
kohsuke/github-api,3870,148,50,1,644,233,554,189,90,44,48.888888888888886,23,29,21,0,11,5,0,0,11
romainguefveneu/naonedbus,25045,347,307,0,2112,55,1436,24,676,31,4.585798816568047,42,64,77,0,1,4,0,0,3
iain-davis/communitybridge,7831,214,46,0,194,161,165,144,29,17,58.620689655172406,52,57,134,0,0,3,0,0,0
leleuj/spring-security-oauth-client,272,10,4,0,24,3,23,3,1,0,0.0,0,2,2,0,0,1,0,0,0
paul999/zaalbeheer,6315,258,95,2,578,6,530,4,48,2,4.166666666666666,28,38,46,0,15,9,0,0,0
thedudeguy/jukeit-free,4440,53,69,0,267,0,187,0,80,0,0.0,0,9,14,0,0,2,0,0,0
windup/windup,19769,802,511,22,1356,233,1055,152,301,81,26.910299003322258,65,121,115,0,37,5,0,5,18
p6spy/p6spy,7181,452,151,0,663,234,531,207,132,27,20.454545454545457,35,80,90,0,8,4,0,8,23
sickill/off-plugin,8917,134,86,0,887,5,562,0,325,5,1.5384615384615385,32,23,41,0,0,0,0,0,0
walkingp/androidcnblogs,11845,406,82,0,720,37,470,36,250,1,0.4,0,86,102,0,0,10,0,0,7
apauzies/eclipse-minimap-view,175,4,1,0,16,0,13,0,3,0,0.0,0,1,1,0,0,0,0,0,0
h31ix/updater,367,52,1,0,14,0,7,0,7,0,0.0,0,7,7,0,0,1,0,0,0
wsdot/wsdot-android-app,13081,398,108,0,1076,1,904,0,172,1,0.5813953488372093,13,83,65,0,0,4,0,0,38
itm/testbed-runtime,37545,2066,411,9,2614,285,1894,195,720,90,12.5,396,294,310,0,84,17,0,0,29
craigwblake/redline,4394,211,45,1,537,122,444,97,93,25,26.881720430107524,36,46,46,0,32,1,0,0,5
slopjong/tomxis2,26,0,2,0,1,1,0,0,1,1,100.0,0,0,0,0,0,0,0,0,0
wdkapps/fillup,6123,199,52,0,409,6,227,4,182,2,1.098901098901099,16,32,34,0,0,5,0,0,2
peppe-/pagedtable,607,1,3,0,60,5,56,5,4,0,0.0,1,0,0,0,0,0,0,0,0
numerate/numatix,11652,430,143,2,848,252,449,143,399,109,27.31829573934837,143,150,122,0,4,0,0,0,23
eller86/findbugs-slf4j,2142,81,57,0,133,8,46,4,87,4,4.597701149425287,17,13,12,0,9,1,0,0,3
kinow/testlink-java-api,6106,586,94,1,565,78,502,45,63,33,52.38095238095239,57,128,134,0,55,1,0,0,0
danieljonker/personfinder,1198,37,6,0,39,0,25,0,14,0,0.0,4,8,9,0,1,0,0,0,0
amelentev/java-oo,2057,69,38,1,157,38,73,24,84,14,16.666666666666664,14,17,15,0,8,0,0,0,3
stephanenicolas/boundbox,4986,51,110,1,327,130,228,98,99,32,32.323232323232325,4,6,7,0,0,1,0,0,0
bloodsplat/bungeesuite,6093,264,72,1,485,80,258,24,227,56,24.669603524229075,16,66,67,0,4,5,0,0,2
tcoxon/xkcdviewer,284,4,5,0,42,3,35,3,7,0,0.0,0,1,0,0,0,0,0,0,1
masterthought/jenkins-cucumber-jvm-reports-plugin-java,235,9,4,0,18,2,10,2,8,0,0.0,0,1,1,0,0,0,0,0,0
pepite/play--pdf,1508,174,8,0,66,13,33,7,33,6,18.181818181818183,15,33,37,0,13,2,0,0,3
fiji/fiji,2243,127,20,0,108,11,32,3,76,8,10.526315789473683,36,15,21,0,1,5,0,0,0
gittner/osmbugs,3428,142,24,0,299,0,128,0,171,0,0.0,0,20,40,0,0,22,0,0,0
nickwph/infiniteviewpager,164,0,3,0,14,0,12,0,2,0,0.0,0,0,0,0,0,0,0,0,0
jaetzold/philips-hue-java-sdk,3273,375,15,2,286,77,241,70,45,7,15.555555555555555,125,55,55,0,34,12,0,0,1
datastax/java-driver,19782,2083,173,21,1883,166,1189,139,694,27,3.890489913544669,306,260,320,0,125,19,0,1,13
oltpbenchmark/oltpbench,34988,1442,384,4,1967,581,1361,384,606,197,32.508250825082506,308,233,262,0,131,17,0,0,15
clashnia/minecraft-demigods,20245,132,186,3,12,9,8,6,4,3,75.0,9,97,97,0,0,0,0,0,0
voxeolabs/moho,50488,6621,650,20,4638,1006,3404,688,1234,318,25.76985413290113,504,857,848,0,241,62,0,10,188
ubx/skylinestracker,729,17,13,0,63,0,38,0,25,0,0.0,0,4,5,0,0,0,0,0,0
fluent/fluent-logger-java,1256,93,16,0,96,33,81,29,15,4,26.666666666666668,8,22,21,0,2,1,0,0,3
wikimedia/kraken,5862,287,83,1,346,117,278,106,68,11,16.176470588235293,47,55,63,0,23,14,0,0,2
marginallyclever/makelangelo,3619,96,22,0,203,33,134,16,69,17,24.637681159420293,0,25,25,0,0,5,0,0,2
stormpath/stormpath-spring-samples,1066,63,22,0,99,15,92,9,7,6,85.71428571428571,0,10,13,0,0,3,0,0,0
jprante/elasticsearch-langdetect,1330,41,23,1,100,36,77,30,23,6,26.08695652173913,7,7,7,0,2,1,0,0,0
twilio/twilio-java,7488,448,135,2,869,145,702,140,167,5,2.9940119760479043,70,81,89,0,16,52,0,0,0
atolcd/alfresco-trashcan-cleaner,159,20,2,0,10,2,10,2,0,0,0,1,2,2,0,0,0,0,0,0
bulldog2011/bigqueue,9417,755,49,0,732,268,618,225,114,43,37.719298245614034,100,156,100,0,28,6,0,0,66
jdubois/generator-jhipster,3479,70,91,1,291,47,235,42,56,5,8.928571428571429,13,11,12,0,3,2,0,0,0
wildn00b/timegivesyoumoney,1317,79,11,0,87,5,70,3,17,2,11.76470588235294,5,16,18,0,0,4,0,0,0
ranzdo/methodcommand,1295,113,35,1,79,22,75,22,4,0,0.0,47,15,15,0,10,0,0,0,0
farhanrahman/kyoto,10072,877,107,6,433,18,226,10,207,8,3.864734299516908,67,143,180,0,16,24,0,0,1
mjedynak/builder-generator,3141,13,63,0,256,1,201,1,55,0,0.0,3,2,2,0,0,1,0,0,0
springsource/spring-social-linkedin,6872,105,180,0,570,48,537,48,33,0,0.0,28,23,23,0,16,3,0,0,0
unclebob/fitnesse,67750,2024,982,20,8200,3090,5682,2562,2518,528,20.96902303415409,247,375,373,0,129,43,0,3,40
bpelunit/bpelunit,44157,2276,580,15,3772,691,2722,569,1050,122,11.619047619047619,363,345,368,0,144,35,0,0,54
pkocsis/javaftd2xx,1024,52,15,1,106,35,82,31,24,4,16.666666666666664,4,4,4,0,1,1,0,0,0
ultraq/thymeleaf-layout-dialect,857,10,22,0,79,0,61,0,18,0,0.0,2,2,2,0,0,0,0,0,0
larsgeorge/hbase-book,22679,403,114,0,434,181,278,74,156,107,68.58974358974359,15,84,79,0,9,12,0,0,9
abrarsyed/secretroomsmod-forge,4917,9,37,0,281,2,203,2,78,0,0.0,1,8,8,0,0,0,0,0,0
gwindow/whatandroid,8786,297,83,0,762,5,430,1,332,4,1.2048192771084338,0,66,66,0,0,13,0,0,0
ggodlewski/smux-anki-converter,2129,297,28,3,92,51,59,32,33,19,57.57575757575758,17,49,69,0,13,3,0,0,0
yurloc/iypt-planner,6663,108,81,0,723,63,579,40,144,23,15.972222222222221,24,22,18,0,6,0,0,0,0
idpf/epubcheck,16062,618,118,2,1186,362,997,305,189,57,30.158730158730158,95,109,116,0,27,7,0,1,10
datacite/mds,10462,328,157,4,847,248,566,181,281,67,23.843416370106763,71,54,57,0,19,12,0,0,0
argando/footballparcer,2068,28,26,0,62,1,46,1,16,0,0.0,2,11,10,0,0,1,0,0,0
michel-kraemer/gradle-download-task,720,31,6,0,67,16,53,13,14,3,21.428571428571427,7,5,3,0,1,1,0,0,5
masenf/wta-next-bus,1755,71,21,0,140,2,122,1,18,1,5.555555555555555,0,16,16,0,0,2,0,0,0
rebelkeithy/metallurgy,18627,146,192,0,1100,0,980,0,120,0,0.0,7,53,61,0,0,1,0,0,0
ukwa/warc-explorer,1240,111,12,0,73,11,40,4,33,7,21.21212121212121,5,21,24,0,0,1,0,0,0
artmoni/gardening-manager-android,16176,900,195,8,1508,45,1123,29,385,16,4.1558441558441555,41,126,137,0,8,16,0,0,18
thorikawa/glassbluetoothprotocol,3299,9,4,0,123,3,91,0,32,3,9.375,2,2,2,0,0,0,0,0,0
perky/craftingtableii,1107,16,9,0,30,0,24,0,6,0,0.0,0,4,4,0,0,1,0,0,0
geronimoo/geronimoo-s-dominion-simulator,12656,50,209,0,1102,0,889,0,213,0,0.0,0,10,10,0,0,2,0,0,0
secure-software-engineering/soot-infoflow-android,4592,146,41,0,290,93,227,77,63,16,25.396825396825395,29,19,20,0,4,3,0,0,12
linkedin/linkedin-zookeeper,2318,47,24,0,256,35,193,18,63,17,26.984126984126984,22,22,24,0,0,0,0,0,0
wpinnoo/garbagecalendar,23617,506,134,0,2351,4,1831,1,520,3,0.576923076923077,81,83,99,0,14,20,0,1,8
nightwhistler/htmlspanner,2551,88,40,1,235,9,196,9,39,0,0.0,2,18,18,0,0,14,0,0,0
nexttonothing/mcx,2162,161,23,0,120,1,93,0,27,1,3.7037037037037033,0,34,56,0,0,0,0,0,0
xtremelabs/xl-image_utils_lib-android,6223,242,93,0,488,35,352,16,136,19,13.970588235294118,29,45,44,0,6,2,0,0,11
teamsitedesign/teamsitecalendarsync-public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
norconex/collectors,8198,398,83,2,741,71,557,63,184,8,4.3478260869565215,54,66,62,0,41,2,0,0,7
atais/ios6-sms_db-java,2551,346,24,3,225,17,215,17,10,0,0.0,25,44,29,0,25,0,0,0,25
michaelsembwever/cassandra-hadoop,4902,197,21,0,295,79,120,46,175,33,18.857142857142858,115,63,75,0,1,0,0,0,0
f2prateek/android-device-frame-generator,3324,177,57,0,295,30,183,15,112,15,13.392857142857142,7,32,26,0,3,0,0,0,7
iipc/webarchive-commons,30016,2759,392,15,2401,705,1648,512,753,193,25.630810092961486,374,319,280,0,85,52,6,4,98
romannurik/muzei,9890,364,78,0,756,19,499,4,257,15,5.836575875486381,56,63,64,0,13,3,0,0,16
broadinstitute/igv,131817,6680,1080,14,10491,1494,7356,927,3135,567,18.086124401913874,471,1019,966,0,225,164,3,16,333
tuxburner/play-neo4jplugin,360,19,13,0,21,2,15,2,6,0,0.0,2,3,3,0,1,0,0,0,0
ourgrid/ourgrid,144610,3828,1764,37,10265,2568,8408,2300,1857,268,14.431879375336564,324,716,746,0,112,31,1,2,43
membrane/service-proxy,43411,2171,542,13,3541,1154,2533,801,1008,353,35.019841269841265,413,292,266,0,117,30,9,6,203
rmtheis/android-ocr,3910,196,27,0,199,7,93,0,106,7,6.60377358490566,15,35,41,0,1,10,0,0,0
deathmarine/diablodrops,3911,117,31,0,188,0,162,0,26,0,0.0,0,23,23,0,0,0,0,0,0
chetan/uasparser,1555,102,20,0,160,32,113,15,47,17,36.17021276595745,7,21,11,0,3,1,0,0,18
sschwartzman/newrelic_hadoop_plugin,446,4,2,0,10,0,9,0,1,0,0.0,0,1,1,0,0,0,0,0,0
seinecle/my-plugins-for-gephi,7465,154,59,0,445,28,381,27,64,1,1.5625,6,27,49,0,0,0,0,0,0
oster/jlm,27528,1326,489,15,1810,71,1589,53,221,18,8.144796380090497,233,174,196,0,34,11,0,0,17
fluentlenium/fluentlenium,5925,96,132,2,879,46,779,46,100,0,0.0,29,13,24,0,19,1,0,0,0
jmacglashan/burlap,19623,193,252,1,551,0,515,0,36,0,0.0,95,22,22,0,0,1,0,0,0
pi4j/pi4j,11700,517,267,9,1222,216,894,73,328,143,43.59756097560975,177,45,49,0,25,0,0,1,2
rampo/updatechecker,589,25,11,0,61,0,31,0,30,0,0.0,2,6,7,0,0,1,0,0,0
sillycat/confluence-space-user-management,5320,485,58,6,542,40,390,33,152,7,4.605263157894736,34,64,67,0,6,3,0,3,17
jprante/elasticsearch-river-jdbc,7343,331,65,0,574,166,437,125,137,41,29.927007299270077,96,53,55,0,11,9,0,0,7
fedott/webstormrequirejsplugin,2547,8,17,0,141,13,111,12,30,1,3.3333333333333335,2,2,2,0,0,0,0,0,0
qwerty12/alternateapppicker,90,9,1,0,8,5,4,1,4,4,100.0,0,3,3,0,0,0,0,0,0
anderson-/robotinterface,20209,876,135,3,1491,83,1155,68,336,15,4.464285714285714,56,113,128,0,3,30,0,0,3
dadoonet/sql2nosql,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ralscha/extdirectspring,18493,364,203,0,1413,347,1239,296,174,51,29.310344827586203,25,67,43,0,14,11,0,0,57
cbeust/jcommander,4768,204,115,2,413,19,308,11,105,8,7.6190476190476195,59,26,41,0,28,1,0,0,2
hortonworks/hoya,14888,971,183,15,1106,291,791,192,315,99,31.428571428571427,192,124,129,0,50,10,1,0,13
facebook/facebook-android-sdk,29426,1366,166,6,2608,255,1517,204,1091,51,4.674610449129239,158,257,262,0,21,48,0,1,36
bigdata-mx/factura-electronica,2858,88,40,1,253,152,129,86,124,66,53.2258064516129,14,16,11,0,9,0,0,0,6
navtable/navtable,4842,358,40,0,364,64,238,45,126,19,15.079365079365079,21,62,78,0,3,19,0,0,0
universalmediaserver/universalmediaserver,41290,2307,244,1,2918,273,2250,179,668,94,14.071856287425149,60,485,432,0,12,72,0,0,10
cts2/cts2-framework,21539,481,352,6,1325,214,1170,201,155,13,8.38709677419355,156,70,79,0,56,2,0,0,2
caelum/vraptor4,23614,913,520,16,2143,539,1870,525,273,14,5.128205128205128,124,137,140,0,72,19,0,0,3
salyh/elasticsearch-security-plugin,3733,176,35,1,209,56,145,42,64,14,21.875,36,26,28,0,10,3,0,0,3
korpling/annis,58482,772,472,10,3832,210,2916,160,916,50,5.458515283842795,125,309,384,0,3,0,0,0,0
winghc/hadoop2x-eclipse-plugin,4624,269,45,0,418,26,311,19,107,7,6.5420560747663545,7,49,53,0,3,11,0,0,2
sacredcoding/preciousstones,28192,99,77,0,1665,1,1402,1,263,0,0.0,1,96,87,0,0,0,0,0,0
sebersole/gradle-maven-publish-auth,603,96,11,0,62,0,30,0,32,0,0.0,17,23,23,0,17,4,0,0,0
elasticsearch/elasticsearch-river-twitter,767,44,10,0,35,14,17,1,18,13,72.22222222222221,0,7,7,0,0,0,0,0,0
kulya/jmeter-gradle-plugin,381,35,4,1,64,3,56,1,8,2,25.0,7,3,6,0,4,0,0,0,0
acanda/eclipse-pmd,7559,222,146,1,744,70,461,57,283,13,4.593639575971731,17,44,41,0,6,2,0,0,5
isa-tools/isaconfigurator,7482,244,57,2,517,7,362,3,155,4,2.5806451612903225,6,28,42,0,0,0,0,0,0
winder/universal-g-code-sender,9316,466,52,0,796,90,531,67,265,23,8.679245283018867,39,84,92,0,1,2,0,0,4
ippontech/tatami,14734,350,232,5,1153,86,998,67,155,19,12.258064516129032,35,51,55,0,9,23,0,0,0
cwhelan/cloudbreak,6706,205,114,1,506,186,395,146,111,40,36.03603603603604,30,38,34,0,19,2,0,0,7
moagrius/mapview,3783,85,46,0,313,1,241,1,72,0,0.0,9,15,20,0,2,1,0,0,2
mamirov/jirareporter,473,24,8,0,19,3,15,3,4,0,0.0,0,6,6,0,0,0,0,0,0
toedter/e4-tutorial,830,19,19,0,75,0,64,0,11,0,0.0,1,2,2,0,0,1,0,0,0
ankri/switchcompatlibrary,1415,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clearboxsystems/nodejsmaven,492,54,7,1,16,10,12,8,4,2,50.0,13,6,11,0,9,0,0,0,0
jline/jline2,8265,281,61,1,596,236,387,147,209,89,42.58373205741627,36,52,42,0,4,8,0,0,18
gshakhn/sonar-intellij-plugin,2383,58,44,0,242,11,193,8,49,3,6.122448979591836,0,8,14,0,0,2,0,0,0
bndtools/bndtools,39834,1819,461,4,3015,326,2016,150,999,176,17.61761761761762,143,364,354,0,68,50,0,1,73
fakereplace/fakereplace,12634,763,339,0,1038,181,704,133,334,48,14.37125748502994,95,164,173,0,69,2,0,0,18
alexdgr8r/meteorsmod,7624,25,103,0,310,4,214,0,96,4,4.166666666666666,2,4,6,0,0,0,0,0,0
bpfoster/openfire-crowd-auth-module,879,115,9,0,91,52,82,52,9,0,0.0,26,12,36,0,11,0,0,0,0
frakbot/romainguymuzei,434,5,3,0,58,1,49,0,9,1,11.11111111111111,1,1,1,0,0,0,0,0,0
adobe-research/mesh,28485,186,550,0,2654,3,1669,3,985,0,0.0,109,60,65,0,0,0,0,0,0
jyio/botbrew-gui,3715,278,27,0,304,24,229,8,75,16,21.333333333333336,3,55,83,0,0,10,0,0,4
cescoffier/maven-play2-plugin,1869,130,27,0,105,34,64,18,41,16,39.02439024390244,36,23,26,0,20,0,0,0,0
soartex-fanver/texture-patcher,1422,233,7,1,68,12,35,0,33,12,36.36363636363637,13,31,35,0,10,0,0,0,0
azenet/ktp,839,65,4,0,62,0,57,0,5,0,0.0,0,7,7,0,0,3,0,0,0
innoq/liqid,3006,238,29,1,248,51,178,42,70,9,12.857142857142856,8,41,56,0,6,9,0,0,0
mulesoft/mule-module-validation,485,43,5,1,42,13,32,11,10,2,20.0,37,1,1,0,0,1,0,0,0
imixs/imixs-workflow,10781,1086,91,6,582,137,496,117,86,20,23.25581395348837,66,156,173,0,25,42,0,0,4
senseobservationsystems/sense-android-library,16355,1162,103,0,936,76,496,21,440,55,12.5,58,220,245,0,1,37,0,0,6
kodehawa/cheating-essentials-forge,6390,46,107,0,215,2,163,2,52,0,0.0,3,28,28,0,0,0,0,0,0
poli-libras/poli-libras,3630,29,96,0,362,9,281,7,81,2,2.4691358024691357,4,5,6,0,0,1,0,0,0
jclouds/jclouds-cli,310,51,1,0,22,11,11,4,11,7,63.63636363636363,4,6,8,0,3,1,0,0,1
trifork/erjang,50356,2759,290,5,3366,653,2098,409,1268,244,19.242902208201894,851,350,356,0,135,49,0,1,52
jakewharton/android-viewpagerindicator,3069,13,42,0,274,0,206,0,68,0,0.0,13,0,0,0,0,0,0,0,0
jroper/mongojack,5812,137,69,1,692,205,563,192,129,13,10.077519379844961,60,17,24,0,23,0,0,0,0
mstandio/saladoconverter,7042,334,39,0,410,79,247,33,163,46,28.22085889570552,77,50,57,0,24,3,0,0,0
tada/pljava,16098,804,116,5,493,389,399,333,94,56,59.57446808510638,422,130,100,0,10,3,0,0,27
opensourcebim/cobie-plugins,50971,718,445,5,2883,404,1170,181,1713,223,13.018096906012843,122,386,412,0,1,0,0,1,3
pexplugins/chatmanager,274,6,3,0,17,0,7,0,10,0,0.0,0,1,1,0,0,0,0,0,0
fastconnect/cloudify-openstack-driver,669,166,2,0,11,1,7,1,4,0,0.0,44,24,33,0,31,0,0,0,1
disy/perfidix,5103,412,98,5,413,47,317,37,96,10,10.416666666666668,36,50,75,0,24,4,0,0,0
cloudsmith/geppetto,146068,13307,940,5,8480,717,6116,553,2364,164,6.937394247038917,620,1991,1654,0,77,59,0,1,1099
dmaniloff/libpomdp,11005,159,105,0,876,18,506,1,370,17,4.594594594594595,17,27,29,0,0,2,0,0,0
ripla/stepper,1739,56,33,1,194,2,138,0,56,2,3.571428571428571,6,11,11,0,4,3,0,0,0
dadoonet/fsriver,1861,65,19,0,145,66,102,41,43,25,58.139534883720934,5,12,12,0,0,1,0,0,0
kohsuke/akuma,609,34,5,0,56,26,16,5,40,21,52.5,7,7,3,0,0,0,0,0,4
xrosecky/differ,5031,340,86,4,444,52,382,47,62,5,8.064516129032258,58,50,56,0,22,4,0,0,0
janrain/jump.android,12443,759,80,0,1138,25,722,12,416,13,3.125,117,124,214,0,92,10,0,0,0
teammetallurgy/agriculture,10352,37,145,0,714,2,573,2,141,0,0.0,1,32,32,0,0,0,0,0,0
jmsanzg/myplan,11338,29,201,0,734,0,661,0,73,0,0.0,1,7,3,0,0,0,0,0,4
sozialhelden/wheelmap-android,16141,367,177,1,1452,39,988,30,464,9,1.9396551724137931,40,42,45,0,7,8,0,0,11
omertron/api-themoviedb,5516,415,82,1,746,133,701,120,45,13,28.888888888888886,81,71,74,0,69,2,0,0,7
linkedin/parseq,8874,200,124,7,751,253,574,189,177,64,36.15819209039548,45,61,49,0,0,0,0,0,0
basho/riakcs-java-client,3200,255,20,2,246,171,196,130,50,41,82.0,81,56,56,0,10,11,0,0,0
digital-preservation/droid,39175,2062,541,17,3086,413,2361,304,725,109,15.03448275862069,245,309,325,0,163,7,0,5,133
masdennis/rajawali,25864,482,229,3,1662,110,1308,78,354,32,9.03954802259887,156,68,74,0,34,0,0,0,0
thomwiggers/lastfm-java,4368,147,48,1,557,18,273,13,284,5,1.7605633802816902,12,35,38,0,4,3,0,0,0
f2prateek/device-frame-generator,3324,177,57,0,295,30,183,15,112,15,13.392857142857142,7,32,26,0,3,0,0,0,7
echurchill/cityworld,18169,196,247,0,1062,12,559,8,503,4,0.7952286282306162,9,16,14,0,0,9,0,0,3
miere/layr,5964,290,167,10,532,164,486,155,46,9,19.565217391304348,42,54,47,0,30,8,0,0,2
volumetricpixels/tickets-legacy,2455,130,11,0,145,0,127,0,18,0,0.0,0,26,35,0,0,4,0,0,0
joshdoe/josm-conflation-plugin,4650,76,71,0,566,2,405,1,161,1,0.6211180124223602,24,10,13,0,0,3,1,0,0
couchbase/couchbase-lite-java-core,16226,1579,122,2,1184,114,902,78,282,36,12.76595744680851,218,262,250,0,70,67,0,1,50
borc/usaproxy-tools,5648,423,54,1,258,51,214,38,44,13,29.545454545454547,17,65,88,0,9,2,0,2,8
plutext/docx4j,244714,5676,2774,18,25814,1280,23479,756,2335,524,22.441113490364025,1002,724,729,0,240,98,16,25,188
plombard/subversionriver,1489,39,17,0,75,23,59,19,16,4,25.0,0,7,8,0,0,2,0,0,0
jonathanlermitage/tikione-jacocoverage,2896,114,31,0,226,0,130,0,96,0,0.0,1,26,21,0,0,0,0,0,6
jfifield/ant-jmeter,317,19,3,0,45,3,42,1,3,2,66.66666666666666,6,3,3,0,1,0,0,0,3
nadestin/tools,588,15,6,0,40,5,25,1,15,4,26.666666666666668,1,6,6,0,1,0,0,0,0
cbeust/testng,52406,1859,1151,6,5588,197,4141,111,1447,86,5.9433310297166555,258,241,298,0,53,23,2,2,143
esotericsoftware/kryonet,5140,418,47,2,334,46,294,39,40,7,17.5,41,70,73,0,22,10,0,0,3
mattprecious/smstimefix,1114,52,7,0,77,0,46,0,31,0,0.0,3,10,12,0,1,0,0,0,0
minecraftforge/minecraftforge,16261,179,176,1,1043,46,555,15,488,31,6.352459016393443,69,52,59,0,0,0,0,0,0
nicoulaj/idea-markdown,1562,20,45,0,170,0,155,0,15,0,0.0,1,5,5,0,1,0,0,0,0
zeroturnaround/zt-exec,1900,166,46,1,265,84,210,68,55,16,29.09090909090909,21,26,24,0,8,0,0,1,8
familysearch/gedcom5-conversion,3403,64,22,0,152,99,89,80,63,19,30.158730158730158,0,15,4,0,0,0,0,0,10
jenkinsci/git-client-plugin,8093,903,47,2,882,571,661,425,221,146,66.06334841628959,175,146,168,0,133,4,0,0,20
fyhertz/libstreaming-examples,403,0,3,0,34,0,26,0,8,0,0.0,0,0,0,0,0,0,0,0,0
krummas/drizzlejdbc,10836,754,123,6,1336,952,1218,898,118,54,45.76271186440678,301,104,106,0,89,1,0,0,1
asksven/betterbatterystats,11210,179,75,0,196,11,136,10,60,1,1.6666666666666667,12,121,128,0,0,0,0,0,0
sbley/projectiler,1801,175,31,3,197,19,94,10,103,9,8.737864077669903,18,25,29,0,13,5,0,0,5
dragonphase/kits,729,78,7,0,10,0,10,0,0,0,0,0,21,21,0,0,8,0,0,0
exo-addons/staging-extension,10295,849,161,0,562,217,441,159,121,58,47.93388429752066,157,153,149,0,95,5,0,0,20
atlantbh/jmeter-components,4293,192,44,0,263,37,217,25,46,12,26.08695652173913,19,37,59,0,4,10,0,0,2
dpadgett/timer,3947,81,23,0,260,0,163,0,97,0,0.0,6,10,16,0,0,1,0,0,0
rholder/moar-concurrent,579,56,14,0,66,15,62,15,4,0,0.0,7,9,3,0,2,0,0,0,18
rtreffer/asmack,1607,70,11,0,99,17,46,1,53,16,30.18867924528302,55,9,13,0,0,0,0,0,0
acbart/jreddit,763,78,23,6,59,3,50,0,9,3,33.33333333333333,0,6,6,0,0,0,0,0,0
neo4j/graph-collections,13014,299,127,0,710,25,540,23,170,2,1.1764705882352942,162,64,42,0,27,0,0,0,4
